article,label
"The mayor of Moscow, Sergei Sobyanin, has said the partial mobilisation will be completed in Russia’s capital from 2pm on Monday.",1
The general staff of the Ukrainian armed forces believe that about 650 Russian soldiers were killed in the country in the last day.,1
"Nine civilians have also been killed and 23 have been injured by Russian forces in the Donetsk region, according to local officials.",1
"Kharkiv has been one of the most consistently shelled since the start of Russia’s invasion of Ukraine, according to British intelligence.",1
Iran’s foreign ministry advised its citizens on Friday to refrain from traveling to Ukraine and asked Iranians there to leave the country.,1
Latvia’s foreign minister Edgars Rinkēvičs said the country will not offer refuge to any Russians fleeing Moscow’s mobilisation of troops.,1
Video shared on Twitter appeared to show Russian air defences attempting to destroy the UAV and dark plumes of smoke rising from the city.,1
"According to Ukraine’s military, by mid-morning on Monday, 75 missiles had been launched , of which it claimed over 40 had been intercepted.",1
Ukrainian presidential adviser Mykhailo Podolyak said after the new wave of drone attacks that Russia should be expelled from the G20 group.,1
Two drones launched by Russian forces into the Odesa region in Ukraine hit military objects causing a fire and the detonation of ammunition.,1
Ukraine’s military says the Antonivsky Bridge across the Dnieper River near occupied Kherson in the south is now unusable by Russian military,1
Zelenskiy has appointed experienced security official and corruption fighter Vasyl Maliuk as the acting head of the domestic security agency.,1
"A Russian court on Tuesday fined Wikipedia owner Wikimedia Foundation 2m rubles (£28,200 / $32,600) over articles relating to the Ukraine war.",1
"Russian forces are concentrating most of their strength on taking the town of Bakhmut in Donetsk, according to the British Ministry of Defence.",1
"Five people were injured in a Russian strike on a humanitarian station in southern Ukraine, said Kyrylo Tymoshenko, a senior aide to Zelenskiy.",1
The International Monetary Fund has announced it will provide $1.3bn in emergency aid to Ukraine through its new food crisis assistance program.,1
"Finland’s foreign minister, Pekka Haavisto, has said the country is still in regular contact with Turkey in relation to its Nato membership bid.",1
The Kremlin said it had made no decision on closing Russia’s borders as the first mobilisation since the second world war prompted some to flee.,1
"The Kremlin has said that beefing up ties with Beijing is a top policy goal, a Russian security official said on Monday during a visit to China.",1
"Residents in Russian-controlled parts of the Kharkiv region have been advised to evacuate to Russia, according to the state-run news agency Tass.",1
"The Ukrainian military said a further 350 Russian soldiers have been killed, bringing the total number since the start of the invasion to 52,250.",1
"Russian news agency Tass is reporting that buses are once again allowed to cross the Crimea bridge, which was damaged in an attack a few days ago.",1
"Along with Lyman , Ukraine forces have liberated the small Arkhanhelske and Myrolyubivka settlements in the Kherson region as well, Zelenskiy said.",1
"Belarus is preparing to receive Russian soldiers and equipment, the Kyiv Independent reports. There are about 1,000 Russian soldiers in the country.",1
EU’s foreign policy chief Josep Borrell said the bloc would look for “concrete evidence” about the participation of Iran in Russia’s war on Ukraine.,1
The British government has said it has imposed a travel ban and an asset freeze on Sergei Yeliseyev as part of its broader sanctions against Russia.,1
"On Moscow’s Red Square, giant video screens have already been set up, with billboards proclaiming “Donetsk, Luhansk, Zaporizhzhia, Kherson – Russia!”",1
The Russian-installed head of southern Ukraine’s occupied Zaporizhzhia region signed on Monday a decree providing for a referendum on joining Russia.,1
"Russia’s decision to withdraw troops from near the southern Ukrainian city of Kherson is a positive step, Turkish President Recep Tayyip Erdoğan said.",1
Ukraine’s prosecutor general’s office said at least 437 Ukrainian children have been killed and more than 837 injured as a result of Russia’s invasion.,1
"Nine people, including four children, died in a suspected gas explosion in a residential building in Russia’s Sakhalin island, the local governor said.",1
Ukrainian President Volodymyr Zelenskiy urged Georgia on Monday to allow its jailed former president to go abroad for treatment to safeguard his health.,1
Kremlin spokesperson Dmitry Peskov said there were no plans to call up more Russian soldiers to fight in Ukraine through a second round of mobilisation.,1
"A member of Russia’s armed forces who took part in the invasion of Ukraine has requested political asylum after landing in Madrid, the Guardian learned.",1
"Thirteen people were killed by artillery shelling on Monday in the east Ukrainian separatist-held city of Donetsk, the city’s Russian-backed mayor said.",1
"A member of Russia’s armed forces who took part in the invasion of Ukraine has requested political asylum after landing in Madrid, the Guardian has learned.",1
Vladimir Putin has announced a partial mobilisation in Russia in a significant escalation that places the country’s people and economy on a wartime footing.,1
"Authorities in the city of Odesa have begun dismantling a monument to Catherine the Great, the Russian empress who founded the city in the late 18th century.",1
"Vyacheslav Gladkov, the governor of Russia’s Belgorod region, has said a man has been injured after Ukrainian forces shelled a railway station within Russia.",1
"At least 10 people, three of them children, were injured and a kindergarten was set on fire amid heavy shelling in Kharkiv, city mayor Igor Terekhov has said",1
US secretary of state Antony Blinken said his country’s “commitment to the people of Ukraine is resolute” while announcing more than $360m in additional aid.,1
"Ukraine’s prime minister, Denys Shmyhal, said 11 infrastructure facilities in eight regions and in the capital, Kyiv, had been damaged in the Russian strikes.",1
"Oleh Synyehubov, governor of Kharkiv, has said that one person has died and two people have been wounded by Russia strikes on the region in the last 24 hours.",1
The EU’s foreign policy chief Josep Borrell welcomed Ukraine’s decision to request an expert mission from the UN’s nuclear watchdog to examine its facilities.,1
"Germany’s economy minister, Robert Habeck, said on Thursday that according to Kyiv’s own estimates, Ukraine needs €350bn (£300bn / $350bn) for reconstruction.",1
Russia’s ambassador to international institutions in Vienna told the RIA Novosti news agency Friday that two inspectors would remain permanently at the plant.,1
"A total of 127 medical facilities have been destroyed and 826 have been damaged since the start of the invasion, according to the Ukrainian ministry of health.",1
The armed forces’ headquarters of the self-proclaimed Donetsk People’s Republic has claimed to have captured three settlements from Ukrainian forces in Donetsk.,1
"Air raid alerts were heard across all parts of Ukraine on Wednesday, according to local officials. There was no immediate word of a new wave of Russian attacks.",1
"The Moscow-installed head of Ukraine’s southern Kherson region, Vladimir Saldo , has urged residents to leave the area and asked Russia to help evacuate people.",1
The first passenger train to the recently liberated Kherson city arrived from Kyiv for the first time since Russian troops occupied the southern Ukrainian city.,1
The UK believes that the Kremlin is likely to be worried about reservists’ families who will risk arrest by protesting about the conditions their relatives face.,1
"Ukrainian officials have suggested that Russia itself may have been responsible for the explosions, which it has used as a pretext to pull out of the grain deal.",1
Switzerland has introduced sanctions against an Iranian firm and three army members after the country sold drones to Russia as part of its war effort in Ukraine.,1
North Korea has become the only UN member state apart from Russia to recognise the “results” of the Moscow-backed “referendums” in the occupied areas of Ukraine.,1
"Maksym Kozytskyi, the governor of Lviv, is among authorities in the areas struck to appeal to residents to try to limit electric consumption to preserve supplies.",1
"Belarus could face more sanctions if it gets more and more involved in the Ukraine conflict, France’s foreign affairs minister Catherine Colonna told French radio",1
"Sunak announced that Britain would provide a £50m air defence package for Ukraine, including anti-aircraft guns and technology to counter Iranian-supplied drones.",1
"France has sent another two air defence systems to Ukraine, along with two multiple rocket launchers, according to an interview given by a French defence minister.",1
"Russia and Ukraine have accused each other of planning to blow up the Nova Kakhovka dam . Breaching it could flood a swathe of southern Ukraine, including Kherson.",1
"France has sent another two air defence systems to Ukraine, along with two multiple rocket launchers, according to an interview given by a French defence minister.",1
"The head of Kryvyi Rih’s military administration, Oleksandr Vilkul, said Russia launched rocket fire overnight on an energy facility, causing “serious destruction”",1
"Rishi Sunak made an unannounced visit to Kyiv on Saturday to meet Ukraine’s president, Volodymyr Zelenskiy – Sunak’s first visit to the country since taking office.",1
"Mikhail Razvozhayev, the governor of Sevastopol in Crimea, which Russia annexed in 2014, said this morning that air defences in the city shot down a Ukrainian drone.",1
Ukraine ’s state emergency service said a 12-year-old boy has been rescued after hours under rubble after rockets hit a five-story residential building in Mykolaiv .,1
"A fuel depot in Russia’s Belgorod region, which borders Ukraine, caught fire after shelling on Saturday, its governor said, without specifying the shelling’s origin.",1
"Kyiv’s mayor, Vitaliy Klitschko, said 40 percent of the Ukrainian capital’s residents do not have water and 270,000 apartments are without power as of Monday evening.",1
Russia claims it has destroyed a depot with foreign-made Ukrainian military equipment in the Kherson region. The agency was not able to immediately verify the report.,1
"Residents near the Zaporizhzhia plant have reportedly been given iodine tablets, amid mounting fears that the fighting around the complex could trigger a catastrophe.",1
"Germany will establish a maintenance hub in Slovakia to service and repair weapons it has delivered to Ukraine, the German defence minister, Christine Lambrecht, said.",1
Another PoW exchange will take place later on Thursday between Russia and Ukraine. Fifty prisoners of war will be handed over in the latest swap between the two sides.,1
Lyman’s recapture by Ukrainian troops is Russia’s largest battlefield loss since Ukraine’s lightning counteroffensive in the north-eastern Kharkiv region in September.,1
Russian security services in Crimea claim to have foiled a plot to sabotage energy supplies in the region by Ukraine’s security service and have detained a man over it.,1
"The US expects a “reduced tempo” in fighting to continue over the winter months, adding that there could be brighter prospects for Ukrainian forces in the coming months.",1
"Sweden’s coast guard earlier this week discovered a fourth gas leak on the damaged Nord Stream pipelines, a coast guard spokesperson told the Svenska Dagbladet newspaper.",1
A blast ripped through the Urengoi-Pomary-Uzhhorod gas exporting pipeline that leads from Russia through Ukraine. Reuters reported that three people died in the incident.,1
"Russia is urging Uefa to ban the manager of the Ukraine men’s national team after he expressed a wish to fight Vladimir Putin’s invading forces, the Guardian has revealed.",1
"The UK Ministry of Defence released its latest intelligence update on the war Ukraine. Russia made its largest single-day issuance of debt in history on Wednesday, it said.",1
The funeral took place on Saturday of a Polish man who was one of two people killed when a missile crashed into a grain storage facility in the Polish village of Przewodow.,1
"Russia ’s daily military briefing for Wednesday has claimed to have shot down three Ukrainian planes overnight, and to have destroyed German-supplied anti-aircraft systems.",1
"The US state department has approved $89m worth of assistance to help Ukraine equip and train 100 teams to clear landmines and unexploded ordnance for a year, Reuters reported.",1
"Ukraine’s counter-offensive in Kharkiv continues, with Ukrainian forces appearing to be closing in on the city of Kupiansk, a key logistical hub for Russian forces in the region",1
Ursula von der Leyen said Ukraine will need Europe’s support “for as long as it takes”. The president of the EU Commission made the comments at the European Council in Brussels.,1
"Russia launched a new wave of missile attacks across Ukraine on Thursday morning, with presidential advisor Mykhailo Podolyak claiming that more than 120 missiles had been fired.",1
"Poland’s prime minister, Mateusz Morawiecki, has already called the leaks “an act of sabotage” which he said “related to the next step of escalation of the situation in Ukraine.”",1
"Vyacheslav Gladkov, the governor of Russia’s Belgorod region, has said a 48-year-old woman was killed after Ukrainian forces fired over the border into the village of Golovchino.",1
"Russia’s president, Vladimir Putin, is a “rational actor who has miscalculated significantly,” US president Joe Biden said in a clip of a CNN interview broadcast late on Tuesday.",1
Ukrainian foreign minister Dmytro Kuleba has spoken to Israeli prime minister Yair Lapid and discussed in detail Kyiv’s request for air and missile defence systems and technology.,1
"The US president, Joe Biden, has warned Vladimir Putin that the use of nuclear or other nonconventional weapons against Ukraine would prompt a “consequential” response from the US.",1
Ukraine accused the Kremlin of reviving the “genocidal” tactics of Josef Stalin as Kyiv commemorated a Soviet-era famine that killed millions of Ukrainians in the winter of 1932-33.,1
"Turkey’s aim is to stop the bloodshed in the Russia-Ukraine war as soon as possible despite hurdles, Turkish president Recep Tayyip Erdoğan has told a regional summit in Kazakhstan.",1
"Russia’s invasion of Ukraine and its economic fallout have thrown 4 million children into poverty across eastern Europe and central Asia, the UN children’s agency, Unicef, has said.",1
"Several world leaders have said they will not recognise any referendums or new annexations of Ukrainian territory, with French president Emmanuel Macron calling the plan a “parody”.",1
"Russia’s strikes on critical energy infrastructure in Ukraine are “acts of pure terror” that amount to war crimes, the head of the European Commission Ursula von der Leyen has said.",1
"The armed forces of Ukraine are estimating that about 480 Russian soldiers were killed yesterday alone, bringing the total to 68,900 personnel lost so far in the invasion of Ukraine.",1
"A member of Putin’s inner circle directly confronted the Russian president over mistakes and failings in the war in Ukraine, the Washington Post has reported, citing US intelligence.",1
"As a result of overnight strikes on the Ukrainian capital, Kyiv, energy infrastructure facilities were damaged, causing power and heating outages, city mayor Klitschko said on Monday.",1
"The White House announced a further $1.85bn in aid including, for the first time, Patriot air defence missiles to protect Ukraine’s infrastructure, already crippled by Russian attacks.",1
"Ukraine’s military says it has destroyed two Russian command posts near Kherson, according to Natalia Humeniuk, a spokesperson for the joint southern command of Ukraine’s armed forces.",1
"The British government said on Thursday it had frozen assets worth £18bn ($20.5bn) held by Russian oligarchs, other individuals and entities sanctioned for Russia’s invasion of Ukraine.",1
"Explosions have been reported at Berdiansk airbase in the Zaporizhzhia region. Three large explosions were heard, as well as smaller ones, near the city on the coast of the Sea of Azov.",1
"Russian troops are allegedly searching for residents in the Kherson region who are refusing to evacuate, before the forces’ potential withdrawal from the west bank of the Dnieper River.",1
"Neighbouring Moldova said it was suffering massive blackouts caused by the missile barrage and its EU-friendly president, Maia Sandu, accused Russia of leaving her country “in the dark”.",1
"More than 200,000 people have been called up for military service since Russia announced a “partial mobilisation” two weeks ago, according to the Russian defence minister, Sergei Shoigu.",1
"Zelenskiy said on Saturday night the Russian army had attacked the cities of Mykolaiv, Kharkiv, Kryvy Rih, and communities of Zaporizhzhia region, covering a broad swathe of the country.",1
"About 70,000 civilians have been relocated from the right bank of the Dnipro river to the left bank in the Kherson oblast, the Russian-appointed governor of the region told Russian media.",1
"Zelenskiy thanked Sunak, for his support and tweeted: “With friends like you by our side, we are confident in our victory. Both of our nations know what it means to stand up for freedom.”",1
"Russian forces have suffered heavy casualties during fighting in Ukraine’s south-central Donetsk province and are unlikely to achieve a breakthrough there, the UK Ministry of Defence says.",1
"Russia kept up its onslaught on Ukrainian cities on Saturday with an attack on Dnipro which injured six people and destroyed seven houses, said the regional governor, Valentyn Reznichenko.",1
"The new US ambassador to Ukraine has arrived in Kyiv, the Guardian understands, a symbolic move after the US withdrew all diplomats from the country before the Russian invasion in February.",1
"Twelve grain export ships have left from Ukraine today, despite Russia pulling out of the Turkey-UN brokered grain deal, according to Ukraine’s minister of infrastructure Oleksandr Kubrakov.",1
Poland said that together with its European Union partners it is ready to provide Ukraine with further help in the transportation of essential goods after Russia pulled out of the grain deal.,1
"About 10 million people were without power, President Volodymyr Zelenskiy said in a Thursday evening video address. Authorities in some places had ordered forced emergency blackouts, he said.",1
"Ukraine has “fully cleared” Russian forces from the key eastern city of Lyman , Zelenskiy confirmed on Monday, a day after Moscow admitted its troops had pulled out after they were encircled.",1
"Foreign ministers from the G7 will discuss how to further support Ukraine in ensuring its energy supply during a meeting in Bucharest next week, German foreign minister Annalena Baerbock said.",1
"The Pentagon also confirmed a call between the US defence secretary and the Ukrainian defence minister, in which Austin pledged “unwavering US commitment” to supporting Ukraine against Russia.",1
The leaders of the G7 condemned Russia’s most recent missile attacks on cities across Ukraine “in the strongest possible terms” and vowed to stand “firmly” with Kyiv “for as long as it takes”.,1
"Air raid alerts were issued across Kyiv and most of Ukraine on Monday early afternoon, officials said. There were no immediate reports of attacks and the alarm was ended about 20 minutes later.",1
"Ukraine’s defence minister, Oleksii Reznikov, said the attack in Kherson is more evidence that Ukraine needs to be supplied with more defence systems and called for more weapons and ammunition.",1
Nato has said leaks from the Nord Stream gas pipelines appeared to be “deliberate acts of sabotage” and vowed a “united and determined response” to any attacks on their critical infrastructure.,1
"Sergei Tsekov, a member of Russia’s upper house of parliament, the Federation Council, has called for the Russian border to be shut “to ban anyone who is of military age from traveling abroad”.",1
"Another 510 Russian troops were killed on Friday according to Ukraine, bringing the total killed since the invasion in February to 90,600. A tank and eight drones were also lost by the Russians.",1
"The Finnish prime minister, Sanna Marin, has called for Europe to build its own defence capabilities in the wake of the war in Ukraine, saying that without US help Europe is not resilient enough.",1
"France is working towards allowing Ukraine to export food supplies via land routes rather than by the Black Sea through Poland or Romania, the French farming minister Marc Fesneau said on Monday.",1
"Oleh Synyehubov, governor of the Kharkiv region that borders Luhansk and Donetsk in Ukraine’s east, said five people were injured this morning in the city of Vovchansk following Russian shelling.",1
"The so-called “People’s militia of the Donetsk People’s Republic (DPR)” has stated that the first Russian troops from the partial mobilisation have arrived in Donetsk, and are undergoing training.",1
"A Russian airbase in Kursk was struck on Wednesday night, a senior Ukrainian official said. Anton Gerashchenko, a senior adviser to Zelenskiy, said an “unknown drone” struck the military facility.",1
"The attack was criticised by the British ambassador to Ukraine, Melinda Simmons, who said Russia’s actions showed “Russia does not want peace with Ukraine, Russia wants the subjugation of Ukraine”.",1
"The price cap on Russian seabourne oil has been expanded to the G7 and Australia, after it was agreed by EU countries. Poland had held out on a lower amount than the $60 per barrel that was agreed.",1
"Sweden will deliver new military aid worth 3bn crowns (£242m) to Ukraine, its biggest package of defence material to date, which includes an air defence system, prime minister Ulf Kristersson said.",1
"The EU has secured enough gas for this winter but could face a gas shortage next year if Russia further cuts supplies, the European Commission and the International Energy Agency (IEA) have warned.",1
"The UK foreign secretary, James Cleverly, has warned rape in war violates international values as severely as the use of chemical weapons amid evidence of the “abhorrent act” being used in Ukraine.",1
"A Russian court has ordered the arrest of television journalist Marina Ovsyannikova, local media reports. Ovsyannikova was under house arrest and has already fled Russia, her lawyer said this week.",1
Sweden has said it would provide liquidity guarantees to Nordic and Baltic energy companies worth “billions of dollars” in an effort to prevent a financial crisis sparked by Europe’s energy crunch.,1
Putin said on Monday that it was impossible to cut Russia off from the rest of the world. He added that sanctions imposed by western countries would not turn the clock back on Russia’s development.,1
"An EU official has given a briefing to Reuters saying that an agreement on the next sanctions package against Russia is expected before next week’s EU summit, or at least major parts of the package.",1
"Finland’s president, Sauli Niinisto, said he was counting on Hungary to ratify the Nordic country’s Nato application after he had talked on the phone with the Hungarian prime minister, Viktor Orbán.",1
The Ladyzhyn thermal power plant (LTPP) in the Vinnytsia region was struck on Tuesday morning. Regional head Serhiy Borzov said: “An attack was launched on the LTPP. Two Shahed-136 kamikaze drones.”,1
"Ukraine has received its first three Gepard self-propelled anti-aircraft systems from Germany and will use them to defend important infrastructure facilities, the southern military command has said.",1
Rail services will resume between Kharkiv and Balakliia in Kharkiv oblast on Thursday. Workers have already repaired bridges and dozens of damaged tracks after Balakliia was liberated on 8 September.,1
"President Volodymyr Zelenskiy has pushed the president of the European Commission, Ursula von der Leyen, to prepare a fresh package of sanctions, including a ban on issuing visas to Russian citizens.",1
Ukraine’s foreign ministry has said the “propaganda show called ‘referendums’ in the temporarily occupied territories” are “yet another Russian crime” and that it considers them “null and worthless”.,1
The Moscow Times is carrying a report that a Russian military recruitment office and an administration building were attacked overnight in two separate locations during the anti-mobilisation protests.,1
Germany’s economy minister expects to have to extend the lifespans of the country’s last two nuclear power plants to avoid possible outages and grid bottlenecks in Europe’s biggest economy this winter.,1
Russia’s ministry of defence claims to have destroyed a warehouse full of ammunition in Razdolovka which was stockpiling 155mm shells manufactured for American-made M-777 howitzers supplied to Ukraine.,1
"Kremlin spokesperson Dmitry Peskov told the media on his daily call on Monday that while Russia remains “open” to talks, it is unable to negotiate with Kyiv due to its refusal to hold talks with Russia.",1
"Ukrainians are likely to live with blackouts at least until the end of March, the head of a major energy provider said, as the government started free evacuations for people in Kherson to other regions.",1
"The Russian foreign ministry spokesperson Maria Zakharova said on Thursday that all weapons supplied to Ukraine by the west were legitimate targets for Russia, and that they would be destroyed or seized.",1
"Erdoğan signed a memorandum with Ukraine to help reconstruct infrastructure destroyed by the war. “While continuing our efforts to find a solution, we remain on the side of our Ukraine friends,” he said.",1
"Russian missiles destroyed a fuel storage depot in Novomoskovsk, a town in eastern Ukraine, on Saturday. According to the head of the regional administration, three people have been sent to the hospital.",1
"An airstrike has hit a chemical plant in Sievierodonetsk, a city in east Ukraine, Ukrainian officials wrote on Telegram late on Tuesday. Residents were urged not to come out of hiding due to toxic fumes.",1
"Israel’s defence minister has reiterated that the country will not sell weapons to Ukraine, despite a request from Kyiv for air defence supplies in the face of Russia’s growing use of Iranian-made drones.",1
"Russia launched an Iranian satellite into orbit on Tuesday on morning, but Tehran has sought to deflect suspicions that Moscow could use Khayyam to improve its surveillance of military targets in Ukraine.",1
"Poland and the Czech Republic have agreed to protect the airspace of their Nato ally Slovakia, as it upgrades its air force from legacy Soviet-made MiG-29 fighters to a new batch of F-16 jets from the US.",1
"Kyiv mayor Vitali Klitschko said late on Friday that just a third of its residents had both heat and water and 40% electricity. The metro system - a crucial transport artery - remained shut down, he added.",1
"The Russian energy company Gazprom has said Siemens Energy is ready to help repair broken equipment for the Nord Stream 1 gas pipeline, but claimed there was nowhere available for it to carry out the work.",1
"Pro-Russian separatists accused Ukraine of shelling a brewery in the occupied eastern city of Donetsk on Wednesday, killing one person and triggering a leak of ammonia that sparked a fire, Reuters reported.",1
"The EU has appointed the Polish general Piotr Trytek to lead a new training operation with Ukrainian troops. Trytek, 51, was chosen by the bloc as part of its pledge to step up military support for Ukraine.",1
"A Russian missile has struck military infrastructure in Rivne oblast in northern Ukraine. Reports so far are that there were no casualties, and that the missiles came from just over the border from Belarus.",1
"Ukraine’s SBU security service and police have raided a 1,000-year-old Orthodox Christian monastery in Kyiv and as part of operations to counter suspected “subversive activities by Russian special services”.",1
Foreign ministry spokesman Oleg Nikolenko said Ukraine is working with international partners to create a United Nations-backed mission to restore Black Sea shipping routes and export Ukrainian farm produce.,1
"Nato secretary general Jens Stoltenberg has said there would be “no lasting piece” if Russia wins in Ukraine. He said Nato will continue its support for Ukraine and increase “non-lethal” aid, Reuters reports.",1
UN secretary-general António Guterres is “deeply concerned” about the Black Sea grain deal and has delayed his travel to Algiers for the Arab League summit by a day to focus on the issue. a spokesperson said.,1
"Russia’s Gazprom has informed the French utility company Engie that it is reducing its gas deliveries owing to a disagreement between the parties over contracts, adding to concerns related to energy supplies.",1
The UK’s Ministry of Defence said the barrage of missiles that struck Ukraine on Tuesday was likely the largest number of strikes that Russia had conducted in a single day since the first week of its invasion.,1
"In a phone conversation, Volodymyr Zelenskiy thanked Erdoğan for his role in restoring the deal. The Turkish president replied that the ability of Russia and Ukraine to sell grain was of “critical importance”.",1
"Two people were killed in a missile attack overnight on the south-eastern region of Zaporizhzhia, according to local officials. Three were wounded in an attack on the north-eastern city of Kharkiv, they added.",1
"A further 30 Ukrainian service personnel who were captured from Ukraine’s Zmiinyi (Snake) Island have been released from Russian captivity, according to the Ukrainian parliament’s commissioner for human rights.",1
"G7 foreign ministers have agreed on the need for a coordination mechanism to help Ukraine repair, restore and defend its critical energy and water infrastructure, a senior US state department official has said.",1
"Zelenskiy said on Saturday that the supply problems were worst in and around Kyiv as well as in six other regions. “We are working throughout the country to stabilise the situation,” he said in a video address.",1
"Spain’s foreign minister, José Manuel Albares, visited Kyiv on Wednesday, where he met with his Ukrainian counterpart, Dmytro Kuleba. As part of its latest aid package, Spain is donating 30 ambulances to Ukraine.",1
France has become the first major western state to publicly back the creation of a special tribunal to try senior Russian officials – potentially including Vladimir Putin – for the crime of aggression in Ukraine.,1
"A video of one of many mass graveyards in Ukraine has emerged online, Ukraine’s Centre for Strategic Communications and Information Security under the ministry of culture and information policy tweeted on Friday.",1
The UN nuclear watchdog is preparing to send inspectors in the coming days to two Ukrainian sites after Kyiv requested an expert mission be sent to disprove Russian claims that Ukraine plans to use a “dirty bomb”.,1
German Chancellor Olaf Scholz told Ukraine’s President Volodymyr Zelenskiy in a call on Wednesday that Germany would never accept the results of “sham” referendums on joining Russia in occupied regions of Ukraine.,1
"Turkey’s president Recep Tayyip Erdoğan said he is satisfied with Russia’s claim that it was not involved in the incident in Poland, and that “insisting that the missiles were Russian-made will provoke this issue.”",1
"Russia’s invasion of Ukraine has added it to the small group of countries excluded from Queen Elizabeth II’s funeral in London today, which includes Belarus, Myanmar, Syria, Venezuela and Taliban-ruled Afghanistan.",1
"The British ministry of defence, in its latest intelligence estimate, pointed to new signs from an independent Russian media outlet that public support in Russia for the military campaign was “falling significantly”.",1
"Denmark’s military has issued an image of gas bubbling at the surface of the Baltic Sea after “unprecedented” damage to the Nord Stream pipelines, which has seen three offshore lines of the system damaged in one day.",1
"Germany’s Die Linke could split into two parties over the Ukraine war, as the ailing leftwing outfit’s indecisive stance on economic sanctions against Russia triggered a series of high-profile resignations this week.",1
"Finland and Sweden will send delegations to Ankara tomorrow to try to resolve Turkish opposition to their applications for membership of the Nato military alliance, Finland’s foreign minister Pekka Haavisto has said.",1
"Russia will not sell oil that is subject to a western price cap even if it has to cut production, Russian deputy prime minister, Alexander Novak, said on Sunday. The G7 and Australia agreed to the price cap on Friday.",1
"The Kremlin spokesperson, Dmitry Peskov, has said that Zelenskiy’s statement that there will be no “Minsk-3” deal to end the fighting in Ukraine confirms that Kyiv is not interested in holding peace talks with Moscow.",1
The UK ministry of defence has claimed in its latest intelligence briefing that more men have now likely fled conscription from Russia’s partial mobilisation than Russia initially used in its invasion force of Ukraine.,1
"Ukraine‘s power grid has been “stabilised” after Russian strikes on the country that in particular targeted energy infrastructure, causing power and hot water cuts, the national energy operator Ukrenergo said Thursday.",1
"France will invite the leader of Moldova to Paris in November to express France’s solidarity for the country in the context of Russia’s invasion of Ukraine, the French president, Emmanuel Macron, said at an EU meeting.",1
"Russian forces have hit multiple residential targets in Mykolaiv overnight, according to its governor, Vitaliy Kim. He said homes were damaged, as well as three hospitals, two education facilities, a hotel and a museum.",1
"There has been international condemnation of Russia’s decision to suspend the UN brokered Black Sea Grain initiative, a move described by US president Joe Biden as “purely outrageous” and which would increase starvation.",1
"Vladimir Putin and his Turkish counterpart, Recep Tayyip Erdoğan, did not discuss ways to resolve the conflict in Ukraine at their bilateral meeting on Thursday, the state-run RIA news agency reported, citing the Kremlin.",1
"An attempt to retake control of the Zaporizhzhia nuclear power plant (ZNPP) by boats loaded with Ukrainian special forces has been repulsed, according to one of the Russian-installed officials in occupied eastern Ukraine.",1
Zelenskiy said the world narrowly avoided a “radiation disaster” on Thursday when electricity to the Zaporizhzhia plant was cut for hours after fires broke out around the Russian-occupied complex in south-eastern Ukraine.,1
